Record_ID,Accounting_Year,Accounting_Quarter,Accounting_Month,Accounting_Period,Underwriting_Year,Accident_Year,Booking_Date,Region,Market_Unit,Country,Business_Segment,Main_Line_of_Business,Line_of_Business,Type_of_Business,Cedent_ID,Cedent_Name,Broker,Client_Management_ID,Client_Manager,UW_Portfolio,Client_Executive,IFRS_Classification,PCSS_Type,P_Zero_Flag,Renewal_Category,Direction_of_Business,Premium,Claims,Commission,Expenses,Technical_Result,Net_Premium,Loss_Ratio,Expense_Ratio,Combined_Ratio
FIN00006842,2024,Q1,2,2024-02,2024,2024,20-02-2024,Americas,US,United States,REPC,P&C Facultative,Energy,Property Facultative,CED0093,Riverside General Insurance,Grayson & Associates,CM6862,Yuki Marchetti,Property Treaty Americas,Anjali Verma,101,Trust,Yes,Renewal,Inward,163119.79,117292.11,15790.87,15406.55,14630.27,147328.93,0.7191,0.0944,0.8135
FIN00032801,2023,Q4,12,2023-12,2022,2022,06-12-2023,EMEA,Nordics,Sweden,REPC,Specialty,Trade Credit,Non-Property Treaty,CED0048,Highland Assurance,Northgate & Associates,CM7342,,WORKERS COMP NATIONAL,Anjali Verma,101,Non Trust,No,Renewal,Inward,1214849.16,537475.42,131714.73,136182.29,409476.72,1083134.43,0.4424,0.1121,0.5545
FIN00028997,2024,Q1,3,2024-03,2023,2023,17-03-2024,Asia,Hong Kong,Hong Kong,REPC,Property,Construction,Property Treaty,CED0019,Cornerstone Mutual,Ashford & Associates,CM6762,Steven Nakagawa,Retail Casualty,Isabelle Achebe,102,Non Trust,Yes,New Business,Inward,928060.41,572489.47,170517.48,75214.99,109838.47,757542.93,0.6169,0.081,0.6979
FIN00036261,2024,Q2,4,2024-04,2024,2024,24-04-2024,Asia,ANZ,Australia,REPC,P&C Facultative,Liability,Non-Property Facultative,CED9999,Unknown Cedent,Vantage Group,CM5063,Amara Wallace,Construction & Engineering EMEA,Anjali Verma,102,Trust,Yes,New Business,Outward,114572.41,82070.63,9268.3,5926.36,17307.11,105304.1,0.7163,0.0517,0.768
FIN00005905,2024,Q1,1,2024-01,2023,2023,25-01-2024,Asia,China,China,REPC,Specialty,Marine,Direct Insurance,CED0060,Liberty Insurance,Highbridge Risk Solutions,CM4932,Priya Nakagawa,Space & Satellite,Henry Cartwright,201,Non Trust,No,Renewal,Inward,581498.97,352463.66,76437.55,24724.88,127872.88,505061.42,0.6061,0.0425,0.6486
FIN00049120,2026,Q2,5,2026-05,2026,2026,06-05-2026,EMEA,Germany,Germany,REPC,Property,Property,Property Treaty,CED0058,Landmark Indemnity,Chadwick Risk Advisors,CM1151,Yuki Marchetti,Retail Casualty,Grace Salazar,102,Trust,No,Renewal,Inward,1892885.26,1215847.74,270493.35,49939.37,356604.8,1622391.91,0.6423,0.0264,0.6687
FIN00009271,2025,Q3,7,2025-07,2025,2025,21-07-2025,Americas,US,United States,REPC,Specialty,Space,Direct Insurance,CED0031,Falcon Insurance Group,Thackeray Risk Advisors,CM6118,Robert Muller,Construction & Engineering EMEA,Christopher Lindberg,102,Non Trust,No,Renewal,Inward,2810246.12,1958678.43,342635.13,221509.64,287422.93,2467610.99,0.697,0.0788,0.7758
FIN00005778,2024,Q2,5,2024-05,2024,2024,18-05-2024,EMEA,Germany,Germany,REPC,Property,Energy,Property Facultative,CED0041,Granite Re,Ashford & Associates,CM2240,Marcus Lindqvist,Marine Global,Renata Moreau,102,Non Trust,No,Renewal,Inward,524550.5,193746.42,77039.81,14952.97,238811.31,447510.7,0.3694,0.0285,0.3979
FIN00033692,2025,Q3,9,2025-09,2025,2025,12-09-2025,EMEA,UK,United Kingdom,REPC,Casualty,Workers Compensation,Direct Insurance,CED0069,Millennium Mutual,Lockwood Risk Solutions,CM8945,Peter Nakamura,Political & Credit Risk,Henry Cartwright,101,Non Trust,No,Renewal,Inward,281010.91,169188.71,44801.22,31021.02,35999.97,236209.7,0.6021,0.1104,0.7125
FIN00005354,2025,Q4,11,2025-11,2025,2025,03-11-2025,Asia,ANZ,Australia,REPC,P&C Re,Energy,Property Treaty,CED0029,Falcon Holdings,Blackstone Insurance Brokers,CM6508,Priya Nakagawa,Political & Credit Risk,George Simmons,201,Non Trust,No,Renewal,Inward,1185882.3,759075.4,203626.05,35974.72,187206.12,982256.25,0.6401,0.0303,0.6704
FIN00029566,2026,Q1,3,2026-03,2026,2026,08-03-2026,Americas,US,United States,REPC,Casualty,Motor,Direct Insurance,CED0086,Prime Insurance,grayson & associates,CM4661,Fatima Costa,Energy Upstream,Karen Vasquez,102,Non Trust,No,Renewal,Outward,355958.22,241141.47,56226.13,10146.42,48444.2,299732.09,0.6774,0.0285,0.7059
FIN00029664,2025,Q2,4,2025-04,2025,2025,17-04-2025,EMEA,Nordics,Sweden,REPC,Casualty,Motor,Direct Insurance,CED0110,Union Mutual,Fairview Risk Solutions,CM4728,Brian Lindqvist,Motor Fleet,William Holloway,101,Trust,No,Renewal,Outward,226475.3,144476.29,14996.16,18503.87,48498.98,211479.15,0.6379,0.0817,0.7196
FIN00000926,2024,Q1,1,2024-01,2023,2023,24-01-2024,Asia,Hong Kong,Hong Kong,REPC,P&C Re,Energy,Property Treaty,CED0023,Delta Assurance,Fairview Risk Solutions,CM6802,Yuki Marchetti,Corporate Property,Frank Callahan,102,Trust,No,Renewal,Inward,217472.37,141336.73,19353.82,21745.75,35036.07,198118.55,0.6499,0.1,0.7499
FIN00045748,2024,Q1,1,2024-01,2024,2024,29-01-2024,Americas,US,United States,REPC,P&C Facultative,Property,Property Facultative,CED0107,Trident Indemnity,Thackeray Risk Advisors,CM9522,Laura Nkosi,Retail Casualty,Anjali Verma,201,Trust,No,Renewal,Inward,132558.15,110695.24,17025.07,9825.22,-4987.38,115533.08,0.8351,0.0741,0.9092
FIN00005691,2023,Q2,6,2023-06,2023,2023,02-06-2023,EMEA,Germany,Germany,REPC,Property,Property,Direct Insurance,CED0076,Paramount Assurance,Dunmore Insurance Brokers,CM2918,Nadia Kowalski,Motor Fleet,Frank Callahan,102,Trust,No,Renewal,Inward,658305.57,480407.76,86314.37,61266.58,30316.86,571991.21,0.7298,0.0931,0.8228
FIN00017265,2024,Q3,9,2024-09,2024,2024,17-09-2024,EMEA,Middle East,United Arab Emirates,REPC,P&C Facultative,Property,Property Facultative,CED0104,Summit Re,Ashcombe Re Solutions,CM9802,Priya Novak,Motor Fleet,Susanna Ibsen,101,Non Trust,No,New Business,Outward,280252.67,225316.69,36567.6,14351.26,4017.13,243685.07,0.804,0.0512,0.8552
FIN00020358,2024,Q2,5,2024-05,2024,2024,17-05-2024,Americas,US,United States,REPC,Property,Engineering,Property Treaty,CED0094,Riverside Mutual,Chadwick Risk Advisors,CM5572,Peter Nakamura,Workers Comp National,William Holloway,201,Non Trust,No,New Business,Outward,256865.56,149389.86,58195.94,29723.03,19556.74,198669.62,0.5816,0.1157,0.6973
FIN00012622,2025,Q3,7,2025-07,2025,2025,27-07-2025,Asia,Korea,South Korea,REPC,Property,Construction,Property Treaty,CED0067,Meridian Holdings,Lockwood Risk Partners,CM6343,Victor Santos,Construction,Isabelle Achebe,102,Non Trust,No,Renewal,Inward,134485.98,67474.72,14605.91,3090.86,49314.5,119880.07,0.5017,0.023,0.5247
FIN00041672,2023,Q4,10,2023-10,2023,2021,17-10-2023,Asia,Korea,South Korea,REPC,P&C Facultative,Engineering,Property Facultative,CED0101,Sterling Casualty,Lockwood Risk Solutions,CM5136,Robert Muller,Engineering Global,Renata Moreau,101,Trust,No,New Business,Outward,303591.15,15179.56,32150.16,13962.47,242298.95,271440.99,0.05,0.046,0.096
FIN00019296,2024,Q2,6,2024-06,2024,2022,19-06-2024,Asia,ANZ,Australia,REPC,Specialty,Marine,Non-Property Treaty,CED0116,Westfield Re,Dunmore Insurance Brokers,CM1229,Daniel Hassan,Aviation,Karen Vasquez,102,Non Trust,Yes,Renewal,Inward,342961.01,232141.52,33351.05,23446.35,54022.09,309609.96,0.6769,0.0684,0.7452
FIN00043830,2026,Q1,3,2026-03,2026,2025,22-03-2026,EMEA,Spain,Spain,REPC,Casualty,Workers Compensation,Non-Property Facultative,CED0003,Anchor Underwriters,Lockwood Risk Partners,CM2745,Yuki Marchetti,Specialty Lines,Renata Moreau,102,Trust,Yes,Renewal,Inward,149565.47,109153.03,20048.35,13958.03,6406.06,129517.12,0.7298,0.0933,0.8231
